mode,case,family,input_bytes,pieces,max_piece_bytes,output_tokens,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
encode,9,code,64,18,9,18,0,5.375,5.5205,1.0394232382864261,0.9077446808510639,1.3247179487179488,0.3247179487179488,calibration
encode,9,code,64,18,9,18,1,5.6145,7.500249999999999,1.2799626731076346,1.2553709298422289,1.6378400744801904,0.3247179487179488,inconclusive
encode,10,code,256,71,9,71,0,15.25025,15.2085,0.9974182088565764,0.9945394500212537,1.0424375357619684,0.05,calibration
encode,10,code,256,71,9,71,1,13.655750000000001,18.875,1.382636029843026,1.3808427188658199,1.5817629386863306,0.05,slower
encode,11,code,4096,1125,9,1125,0,162.198,171.708,1.0348893942620663,1.0018227865849918,1.132054126827809,0.13205412682780904,calibration
encode,11,code,4096,1125,9,1125,1,174.2605,243.1565,1.3993460326837905,1.336337175792507,1.4814834633965068,0.13205412682780904,slower
encode,12,code,16384,4498,9,4498,0,648.25025,659.73975,1.0092434712608662,0.9999396189958638,1.0279931563350673,0.05,calibration
encode,12,code,16384,4498,9,4498,1,670.5935,957.1145,1.4692494280939215,1.4101003832133845,1.5301412971696968,0.05,slower
encode,13,whitespace,64,22,10,22,0,4.53125,5.29175,1.1021185565892482,1.0050155242417005,1.236869565217391,0.2368695652173911,calibration
encode,13,whitespace,64,22,10,22,1,5.468500000000001,6.70825,1.2833492993079667,1.137720488466757,1.3955550918196995,0.2368695652173911,slower
encode,14,whitespace,256,79,10,79,0,16.20825,15.1355,1.0097988122611663,0.8514090271281572,1.1169459811259355,0.14859097287184275,calibration
encode,14,whitespace,256,79,10,79,1,14.26075,19.90625,1.369479902908627,1.3009335183549893,1.412815414152496,0.14859097287184275,slower
encode,15,whitespace,4096,1247,11,1247,0,172.05225000000002,168.94799999999998,0.9750709564887269,0.9129794742527908,1.0442411831626848,0.0870205257472092,calibration
encode,15,whitespace,4096,1247,11,1247,1,180.0105,255.83324999999996,1.4331259547233604,1.247326675530552,1.4647827297575278,0.0870205257472092,slower
encode,16,whitespace,16384,4989,10,4989,0,687.04175,701.1665,1.0217960196428395,0.9516067610781178,1.0348119429736944,0.05,calibration
encode,16,whitespace,16384,4989,10,4989,1,675.5830000000001,979.406,1.4146904990319578,1.3539043523452434,1.478115538964069,0.05,slower
encode,17,long_piece,128,1,128,16,0,40.3645,41.9895,1.004176855354849,0.9976785062846151,1.0861705794492742,0.0861705794492742,calibration
encode,17,long_piece,128,1,128,16,1,43.44825,19.427,0.42292852224457805,0.40875714218255654,0.4599104370133669,0.0861705794492742,faster
encode,18,long_piece,512,1,512,64,0,570.43725,574.29175,1.0039425335360133,0.9644952380952382,1.0782321822367398,0.07823218223673978,calibration
encode,18,long_piece,512,1,512,64,1,573.18775,71.5205,0.12477701696590386,0.12242583977195752,0.1328175252068401,0.07823218223673978,faster
encode,19,long_piece,2048,1,2048,256,0,8368.7605,8311.70825,0.9853182799826836,0.9765604947710042,1.0084157438211123,0.05,calibration
encode,19,long_piece,2048,1,2048,256,1,8369.1145,299.1875,0.035755320396389574,0.03469677933841397,0.03687115794111881,0.05,faster
encode,20,long_piece,4096,1,4096,512,0,33441.416750000004,33566.3125,1.0098448431559097,0.9793354438795325,1.0178413891426144,0.05,calibration
encode,20,long_piece,4096,1,4096,512,1,33931.489499999996,663.2080000000001,0.019458466463371075,0.018418244306097373,0.02191178296710482,0.05,faster
