length,position,stage,different,max_abs,p99_abs,relative_rms
17,6,weighted_values,823,1.1958181858062744e-06,5.113426595926284e-07,6.492745447380577e-06
17,7,scaled_query,0,0.0,0.0,0.0
17,7,scaled_key_transpose,0,0.0,0.0,0.0
17,7,scores,51,0.0001220703125,6.103515625e-05,7.103383570579625e-08
17,7,probabilities,107,1.189112663269043e-05,6.318837404251099e-06,8.472374649691849e-06
17,7,weighted_values,819,7.562339305877686e-07,3.4100376069545733e-07,4.83695856634585e-06
17,8,scaled_query,0,0.0,0.0,0.0
17,8,scaled_key_transpose,0,0.0,0.0,0.0
17,8,scores,70,6.103515625e-05,6.103515625e-05,7.761950912128562e-08
17,8,probabilities,121,6.534159183502197e-06,5.627050995826721e-06,8.840599900394441e-06
17,8,weighted_values,829,5.811452865600586e-07,3.25340079143643e-07,4.46464541551445e-06
17,9,scaled_query,0,0.0,0.0,0.0
17,9,scaled_key_transpose,0,0.0,0.0,0.0
17,9,scores,65,9.1552734375e-05,6.103515625e-05,8.583208392654693e-08
17,9,probabilities,135,1.3619661331176758e-05,1.0062232613563529e-05,1.4006540481120459e-05
17,9,weighted_values,848,7.841736078262329e-07,4.6575441956519903e-07,6.4540228257331905e-06
17,10,scaled_query,0,0.0,0.0,0.0
17,10,scaled_key_transpose,0,0.0,0.0,0.0
17,10,scores,74,0.0001220703125,0.00010589599609374997,9.100624082290433e-08
17,10,probabilities,154,1.2814998626708984e-05,5.255043506622313e-06,1.0077425027363646e-05
17,10,weighted_values,876,6.686896085739136e-07,3.1478703022003174e-07,4.936937439019861e-06
17,11,scaled_query,0,0.0,0.0,0.0
17,11,scaled_key_transpose,0,0.0,0.0,0.0
17,11,scores,84,0.0001220703125,8.117675781250076e-05,8.23326901649797e-08
17,11,probabilities,162,1.1712312698364258e-05,6.281137466430728e-06,1.0472616991346903e-05
17,11,weighted_values,823,1.4528632164001465e-06,3.8924627006053844e-07,5.473785707122813e-06
17,12,scaled_query,0,0.0,0.0,0.0
17,12,scaled_key_transpose,0,0.0,0.0,0.0
17,12,scores,100,9.1552734375e-05,6.683349609374993e-05,8.528261850466015e-08
17,12,probabilities,182,1.4722347259521484e-05,9.17032361030578e-06,1.4672767164048785e-05
17,12,weighted_values,881,1.8887221813201904e-06,4.812143743038172e-07,7.121173207035413e-06
17,13,scaled_query,0,0.0,0.0,0.0
17,13,scaled_key_transpose,0,0.0,0.0,0.0
17,13,scores,100,0.0001220703125,6.256103515625035e-05,7.917840477668231e-08
17,13,probabilities,187,1.5109777450561523e-05,9.89884138107304e-06,1.4986954178527957e-05
17,13,weighted_values,826,9.778887033462524e-07,6.396672688424582e-07,7.720022260454135e-06
17,14,scaled_query,0,0.0,0.0,0.0
17,14,scaled_key_transpose,0,0.0,0.0,0.0
17,14,scores,99,0.0001220703125,6.103515625e-05,8.154344388854709e-08
17,14,probabilities,185,1.3113021850585938e-05,5.408227443695067e-06,1.2379888747166403e-05
17,14,weighted_values,795,1.2773089110851288e-06,6.65243715047836e-07,7.263054880899571e-06
17,15,scaled_query,0,0.0,0.0,0.0
17,15,scaled_key_transpose,0,0.0,0.0,0.0
17,15,scores,102,0.000152587890625,6.103515625e-05,8.364262181036418e-08
17,15,probabilities,218,1.3515353202819824e-05,8.300542831420906e-06,1.446148108555385e-05
17,15,weighted_values,824,1.2516975402832031e-06,6.395624950528139e-07,5.916063464400972e-06
17,16,scaled_query,0,0.0,0.0,0.0
17,16,scaled_key_transpose,0,0.0,0.0,0.0
17,16,scores,127,6.103515625e-05,6.103515625e-05,7.258030463714212e-08
17,16,probabilities,235,6.496906280517578e-06,4.832595586776731e-06,1.0288604032728346e-05
17,16,weighted_values,856,9.052455425262451e-07,3.9315200410783244e-07,4.802163786648276e-06
